dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,282,39621.0,TABU_CICLOS 160 25 300,2963.52,128634,TSP_INS
grafo-euleriano,282,39621.0,TABU_ESTRUCTURA 160 25 300,812.74,128801,TSP_INS
grafo-euleriano,285,40470.0,TABU_CICLOS 160 25 300,2658.42,87639,TSP_INS
grafo-euleriano,285,40470.0,TABU_ESTRUCTURA 160 25 300,809.481,87773,TSP_INS
grafo-euleriano,288,41328.0,TABU_CICLOS 160 25 300,2745.16,106548,TSP_INS
grafo-euleriano,288,41328.0,TABU_ESTRUCTURA 160 25 300,819.07,106735,TSP_INS
grafo-euleriano,291,42195.0,TABU_CICLOS 160 25 300,2652.24,75797,TSP_INS
grafo-euleriano,291,42195.0,TABU_ESTRUCTURA 160 25 300,837.777,76015,TSP_INS
grafo-euleriano,294,43071.0,TABU_CICLOS 160 25 300,2839.45,115270,TSP_INS
grafo-euleriano,294,43071.0,TABU_ESTRUCTURA 160 25 300,848.155,115361,TSP_INS
grafo-euleriano,297,43956.0,TABU_CICLOS 160 25 300,2938.33,72647,TSP_INS
grafo-euleriano,297,43956.0,TABU_ESTRUCTURA 160 25 300,872.292,72846,TSP_INS
grafo-euleriano,300,44850.0,TABU_CICLOS 160 25 300,2994.2,129642,TSP_INS
grafo-euleriano,300,44850.0,TABU_ESTRUCTURA 160 25 300,880.452,129840,TSP_INS
grafo-euleriano,303,45753.0,TABU_CICLOS 160 25 300,3107.66,93688,TSP_INS
grafo-euleriano,303,45753.0,TABU_ESTRUCTURA 160 25 300,906.126,93792,TSP_INS
grafo-euleriano,306,46665.0,TABU_CICLOS 160 25 300,3087.45,88388,TSP_INS
grafo-euleriano,306,46665.0,TABU_ESTRUCTURA 160 25 300,915.778,88502,TSP_INS
