dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,657,215496.0,GA,1413.92,57738,18.044651619234543
sol_optimas,29,406.0,INS,0.06766499999999999,1702,5.714285714285722
sol_optimas,29,406.0,AGM,0.04994266666666666,2210,37.267080745341616
sol_optimas,29,406.0,GA,0.7374053333333334,1974,22.60869565217392
sol_optimas,431,92665.0,INS,66.72336666666666,198626,15.875016043030314
sol_optimas,431,92665.0,AGM,7.879476666666666,227977,32.99788815382641
sol_optimas,431,92665.0,GA,324.4053333333333,204734,19.438318923775185
sol_optimas,417,86736.0,INS,60.599700000000006,14485,22.12292386813928
sol_optimas,417,86736.0,AGM,5.121496666666666,16266,37.138521203945686
sol_optimas,417,86736.0,GA,287.671,13343,12.494730629795143
sol_optimas,299,44551.0,INS,24.747566666666668,58147,20.65945923512689
sol_optimas,299,44551.0,AGM,3.868313333333333,64801,34.46701666286236
sol_optimas,299,44551.0,GA,112.411,57893,20.132389865327553
sol_optimas,1002,501501.0,INS,814.332,302911,16.933737381536034
sol_optimas,1002,501501.0,AGM,35.20953333333333,353066,36.29523827906348
sol_optimas,1002,501501.0,GA,6065.186666666666,305680,18.002663629871265
sol_optimas,225,25200.0,INS,13.184199999999999,4560,16.356213319724418
sol_optimas,225,25200.0,AGM,1.9024166666666666,5261,34.24342944628731
sol_optimas,225,25200.0,GA,50.92216666666667,4955,26.43531513141106
sol_optimas,1379,950131.0,INS,3691.47,65722,16.038701931565384
sol_optimas,1379,950131.0,AGM,66.86253333333333,79140,39.72951022281862
sol_optimas,1379,950131.0,GA,13849.533333333333,66891,18.10268724178114
sol_optimas,16,120.0,INS,0.021960999999999998,7368,7.420906837731451
sol_optimas,16,120.0,AGM,0.0243,7903,15.22087767896194
sol_optimas,16,120.0,GA,0.13890066666666667,8003,16.678816153958294
