dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,279,38781.0,TABU_CICLOS 160 25 300,3830.79,87543,TSP_AGM
grafo-euleriano,279,38781.0,TABU_ESTRUCTURA 160 25 300,877.165,87576,TSP_AGM
grafo-euleriano,282,39621.0,TABU_CICLOS 160 25 300,4200.0,128351,TSP_AGM
grafo-euleriano,282,39621.0,TABU_ESTRUCTURA 160 25 300,939.079,128497,TSP_AGM
grafo-euleriano,285,40470.0,TABU_CICLOS 160 25 300,4203.3,87299,TSP_AGM
grafo-euleriano,285,40470.0,TABU_ESTRUCTURA 160 25 300,921.552,87445,TSP_AGM
grafo-euleriano,288,41328.0,TABU_CICLOS 160 25 300,3935.79,106178,TSP_AGM
grafo-euleriano,288,41328.0,TABU_ESTRUCTURA 160 25 300,929.768,106237,TSP_AGM
grafo-euleriano,291,42195.0,TABU_CICLOS 160 25 300,4167.52,75577,TSP_AGM
grafo-euleriano,291,42195.0,TABU_ESTRUCTURA 160 25 300,965.069,75613,TSP_AGM
grafo-euleriano,294,43071.0,TABU_CICLOS 160 25 300,4224.56,114827,TSP_AGM
grafo-euleriano,294,43071.0,TABU_ESTRUCTURA 160 25 300,980.329,115133,TSP_AGM
grafo-euleriano,297,43956.0,TABU_CICLOS 160 25 300,4659.7,72417,TSP_AGM
grafo-euleriano,297,43956.0,TABU_ESTRUCTURA 160 25 300,987.434,72471,TSP_AGM
grafo-euleriano,300,44850.0,TABU_CICLOS 160 25 300,4250.22,129247,TSP_AGM
grafo-euleriano,300,44850.0,TABU_ESTRUCTURA 160 25 300,1018.79,129437,TSP_AGM
grafo-euleriano,303,45753.0,TABU_CICLOS 160 25 300,4737.42,93483,TSP_AGM
grafo-euleriano,303,45753.0,TABU_ESTRUCTURA 160 25 300,1015.23,93547,TSP_AGM
grafo-euleriano,306,46665.0,TABU_CICLOS 160 25 300,4512.79,88118,TSP_AGM
grafo-euleriano,306,46665.0,TABU_ESTRUCTURA 160 25 300,825.304,88221,TSP_AGM
